Tagalog,English
iyo,yours
isip,think
kita,see
iyan,that (near)
hindi,no
ngunit,but
lahat,all
nila,their
kanila,theirs
pero,but
tayo,we (inclusive)
bago,new; before
dahil,because
kayo,you (plural)
nito,of this; by this
buhay,life; live
dami,much; many
kami,we (exclusive)
dalawa,two
man,even
para(-ng),like; seem
laki,big
nasa,be at
ninyo,your (plural)
dating,arrive
anak,offspring
doon,there (far)
tanong,question
natin,by us (inclusive)
bahay,house
gusto,want; like
kailangan,need
araw,day; sun
po,particle of respect
e,interjection
babae,woman; female
bigay,give
salita,word; talk
loob,inside
una,first
talaga,really
tingin,look
upang,so that
daw,it is said
huwag,don't
pangyari,happening
bata,child; young
sarili,self
buti,good
namin,by us (exclusive)
kahit,although
lalaki,man; male
dapat,should
tawag,call
ibig,love; desire
labas,outside
ganda,pretty; nice
sagot,answer
ilan,how many
alis,depart
pala,particle of surprise
hanggang,until
amin,our (exclusive)
atin,our (inclusive)
kuha,get; take
sunod,follow; obey
para,so that
ayaw,not want
baka,maybe
para,for
ikaw,you (singular)
buo,whole; complete
maaari,able to
mula,from; since
asawa,spouse
lapit,close; near
pasok,enter
lalo,more
ho,particle of respect
gabi,night; evening
kasama,companion
mukha,face; seem
hirap,suffer
wika,language
dala,carry; bring
bayan,town; country